  1   1   1   0   1   0   1
  2   1   1   0   1   1   1
  3   1   1   1   0   0   0
  4   1 999   1   0   1   1
  5   1   1   1   1   0   1
  6   1   1   1   1   0   1
  7   1   0   1   1   1   1
  8   1   1   0   1   0   0
  9   0   0   0   0   0   0
 10   0   0   1   1   0   0
 11   0   1   1   1   0   0
 12   0   1   0   0   0   0
 13   0   1   0   1   0   0
 14   1   1   1   1   1   0
 15   1   0   0   1   1   1
 16   0   0   1   0   0   0
 17   1   0   1   1   1   1
 18   1   1   1   1   1   1
 19   1   0   0   0   0   1
 20   0   1   1   1   1   1
 21   0   1   1   0   1   1
 22   0   0   1   1   1   1
 23   1   1   1   1   0   1
 24   1   1   0   0   0   0
 25   0   0   0   0   0   0
 26   0   1   0   0   0   0
 27   1   1   1   1   1   1
 28   1   1   1   1   1   1
 29   0   1   1   1   0   1
 30   1   1   0   0   1   0
 31   1   0   0   1   0   0
 32   1   1   1   0 999   1
 33   1   1   0   1   1   1
 34   0   1   0   0   0   0
 35   0   0   1   1   0   1
 36 999 999 999 999 999 999
 37   1   0   1 999   1   1
 38   1   1   1   1   1   0
 39 999 999 999 999 999 999
 40   0   1   1   0   1   0
 41 999 999 999 999 999 999
 42   1   1   1   0   1   1
 43   0   1   0   1   0   0
 44   0   0   1   1   1   1
 45   1   1   1   1   0   0
 46   1   1   0   0   0   1
 47   0   1   1   0   1   1
 48   1   1   0   0   0   0
 49   0   0   1   0   0   0
 50   1   0   0   0   0   0
 51   1   0   0   1   1   0
 52   1   1   1   1   1   1
 53   1   1   1   1   1   1
 54   0   0   0   0   0   0
 55   1   1   1   1   1   0
 56   0   0 999   0   0   0
 57   0   1   0   1   0   1
 58   0   1   1   1   1   0
 59   1   1   1   1   0   0
 60   0   0   1   0   0   1
 61   0   0   0   0   0   1
 62   1   1   1   1   0   1
 63   1   0   0   0   0   0
 64   1   1   1   0   1   1
 65   0   1   1   0   0   0
 66   0   0   1   0   1   0
 67   1   0   0   0   1   1
 68   0   1   0   0   0   0
 69   1   0   1   1   0   1
 70   0   0   0   1   1   0
 71   1   1   1   1   0   1
 72   0   0   0   0   1   0
 73   1   0   0   0 999   1
 74   0   1   0   1   1   0
 75   1   1   1   1   1   1
 76   0   1   0   0   0   0
 77   0   0   0   0   0   0
 78   0   0   1   0   0   1
 79   1   1   0   0   0   1
 80   1   1   0   1   0   0
 81   1   1   1   1   1   1
 82   0   0   0   1   0   0
 83   1   0   1   1   1   1
 84   0 999   0   1   0   0
 85   0   1   0   1   0   0
 86   0   0   1   0   0   0
 87   1   0   1   0   1   0
 88 999 999 999 999 999 999
 89   0   1   1   0   1   1
 90   0   0   1   0   1   1
 91   1   1   1   1   1   1
 92   1   0   0   1   1   0
 93   1   0   1   0   0   0
 94   1   1   1   1   1   0
 95   0   1   0   1   1   1
 96   1   1   1   1   1   1
 97   0   0   0   0   0   0
 98 999   0   0   0   1   1
 99   1   0   0   1   0   0
100   0   1   0   0   1   1
101   1   0   1   1   1   1
102   1   1   1   1   1   1
103   0   0   0   1   0   1
104   1   1   0   1   1   0
105   1   1   0   1   1   1
106   1   1   1   1   1   1
107   1   1   1   1   1   1
108   1   1   1   0   1   0
109   0   0   1   0   0   0
110   0   1   1   1   1   1
111   1   1   1   1   1   1
112   0   1   1   1   1   1
113   0   1   0   0   0   0
114   0   0   0   1   0   0
115   1   1   1   1   0   1
116   0   1   1   1   1   1
117   1   0   1   0   1   0
118   0   0   0   1   0   1
119   1   1   1   1   1   1
120   1   0   1   0   0   1
121   0   1   0   0   1   1
122   1   1   0   1   0   1
123   0   0   0   1   0   1
124   0   0   0   0   1   0
125   1   0   1   1   0   0
126   1   1   0   0   0   1
127   1   1   0   0   1   0
128   0   1   1   1   1   0
129   0   0   0   0   0   1
130   0   1   0   0   0   1
131   1   1   0   1   1   1
132   1 999   0   0   0   0
133   1   1   1   1   1   1
134   1   0   1   1   1   1
135   1   1   1   1   1   0
136   0   0   0   1   0   1
137   1   0   1   1   0   0
138   0   0   0   0   0   1
139   1   0   1   1 999   1
140   1   1   1   1   1   1
141   1   1   1   1   0   1
142   0   0   0   0   1   1
143   1   0   0   0   0   1
144   0   0   0   0   1   0
145   0   0 999   1   1   0
146   1   0   1   0   0   1
147   0   0   0   0   0   0
