127   1   3   0   1   2 56.50   9 999  55 999 1  7.27  41
128   1   2   0   0   2 49.20   9 999  49 999 1  7.27  41
129   1   2   1   1   2 45.90  10  11  46  46 1  7.27  41
130   1   3   0   1   2 53.70   9  10  54  59 1  7.27  41
131   1   2   0   1   3 50.02  11 999  53 999 1  7.27  41
132   1   3   1   1   2 999.0   9   9  50  48 1  7.27  41
133   1   2   0   1   2 40.60   7   7  49  48 1  7.27  41
134   1   2   1   1   2 39.90   0   9  50  52 1  7.27  41
135   1   3   0 999   2 45.70  10   7  52  48 1  7.27  41
136   1   3   0   1   2 54.10   7   8  48  59 1  7.27  41
137   1   3   0   1   2 32.20   5   6  48  45 1  7.27  41
138   1   3   0   1   2 49.20   7   7  50  49 1  7.27  41
139   1   3   0   1   2 18.60   7   6  45  49 1  7.27  41
140   1   3   0   1   1 46.60   6 999  46 999 1  7.27  41
141   1 999   1   1   2 44.67   9   9  49  44 1  7.27  41
142   1   3   0 999   2 49.40   7   6  50  54 1  7.27  41
143   1   2   0   1   2 29.60   7   8  47  43 1  7.27  41
144   1   2   1   1   2 46.60   8  11  49  48 1  7.27  41
145   1 999   1   1   2 48.70   5   7  54  55 1  7.27  41
146   1   2   0   1   3 59.00  11   9  56  58 1  7.27  41
147   1   2   0   1   2  6.50   8   6  43  37 1  7.27  41
148   1   2   1   1 999 45.20   9   9  48  46 1  7.27  41
149   1 999   1   1   2 41.00   9   9  40  45 1  7.27  41
258   1   3   0   1   1 25.90   9 999  42 999 1  7.27  41
259   1   2   1   1   2 41.00  10   6  45  50 1  7.27  41
260   1   2   1   1   2 36.80   9  10  38  43 1  7.27  41
261   1   2   0   1   2 48.00   9   8  50  51 1  7.27  41
262   1   2   1   1   2 48.30  11   8  51  51 1  7.27  41
263   1   2   1   1   2 999.0  10  11  54  47 1  7.27  41
264   1 999   1   1   3 56.20  12  10  48  50 1  7.27  41
265   1   2   0   1   2 52.50  10  10  48  43 1  7.27  41
266   1   2   1   1   2 51.60   8   8  50  47 1  7.27  41
267   1   2   0   1   2 43.10   9   9  53  53 1  7.27  41
268   1   2   1   0   2 53.40   9  10  49  52 1  7.27  41
598   1   2   1   1   2 45.00  10   8  53  52 1  7.27  41
599   1   2   0   1   2 999.0   7 999  48 999 1  7.27  41
600   1   3   0   1   2 42.70   7 999  53 999 1  7.27  41
601   1 999   0   1   2 37.30   9 999  54 999 1  7.27  41
602   1   3   1   1   2 36.80   9 999  46 999 1  7.27  41
603   1   2   1   1   2 52.30  11  11  50  50 1  7.27  41
604   1   2   0   1   2 39.60   9   9  43  38 1  7.27  41
605   1   2   0   1   2 44.30  10  11  51  48 1  7.27  41
959   1   2   1   0   2 30.50   9   9  45  48 1  7.27  41
960   1   2   0   1   3 60.00  10 999  52 999 1  7.27  41
606   2   2   1   1   1 44.80   9 999  38 999 0  4.33  12
607   2   2   1   1   2 42.40   6   5  50  48 0  4.33  12
608   2   2   0   1   2 56.20  11  12  51  55 0  4.33  12
609   2   2   0   1   2 55.80   8 999  51 999 0  4.33  12
610   2 999   0   1   2 36.40  10   9  51  52 0  4.33  12
611   2   2   0   1   2 51.10   9  10  49  54 0  4.33  12
612   2   2   0   1   2 51.80   8 999  48 999 0  4.33  12
613   2   2   0   1   2 45.00   7  10  48  49 0  4.33  12
614   2   2   1   1   2 999.0   9   8  47  52 0  4.33  12
615   2   2   1   1   2 44.80  10   9  50  47 0  4.33  12
616   2   2   1   1   2 42.70   7   9  45  49 0  4.33  12
617   2   2   1 999 999 51.10  11 999  54 999 0  4.33  12
618   2   2   0   1   2 53.70   9 999  53 999 0  4.33  12
619   2   2   1   1   2 52.70   8  10  54  56 0  4.33  12
620   2   2   0   1   2 999.0  12  12  43  52 0  4.33  12
621   2   2   0   1   2 43.60  12   8  48  58 0  4.33  12
622   2   2   0   1   2 42.90  11  11  51  52 0  4.33  12
623   2   2   0   1   2 49.26  11  11  50  52 0  4.33  12
624   2   2   0   1   2 42.20  11  11  50  49 0  4.33  12
625   2 999   0 999   2 19.60   9  10  42  46 0  4.33  12
626   2   2   1   1   2 50.60  10  10  51  55 0  4.33  12
627   2   2   1   1   2 37.50  10  10  45  49 0  4.33  12
628   2   2   0   0   2 31.90  12  12  47  43 0  4.33  12
629   2 999   0   1 999 999.0   8   8  49  54 0  4.33  12
630   2   3   0   1   2 39.20  10 999  49 999 0  4.33  12
631   2   2   0   1   2 42.40  11 999  47 999 0  4.33  12
632   2   2   0   1   2 22.10   9   9  38  42 0  4.33  12
633   2 999   0   1   2 41.50  11  11  51  51 0  4.33  12
634   2   2   0   1   2 33.30   5   6  45  44 0  4.33  12
635   2   2   0   1   2 48.00  11  11  52  55 0  4.33  12
636   2   2   0   1   2 48.50   6   5  48  53 0  4.33  12
637   2   3   1   1   2 54.80  10 999  44 999 0  4.33  12
638   2   2   1   1   2 48.00  10  10  52  53 0  4.33  12
639   2 999   0   1   1 42.90  10  10  37  48 0  4.33  12
640   2   2   0   1   2 49.00   6  11  46  52 0  4.33  12
641   2   3   0   1   2 999.0   5   6  42  44 0  4.33  12
642   2 999   1   1   2 47.10  12  12  46  56 0  4.33  12
643   2   2   0   1   2 40.80   9 999  47 999 0  4.33  12
961   2 999   0   1   2 50.40  11  12  56  53 0  4.33  12
962   2   2   1   0   2 47.80  10  11  50  53 0  4.33  12
963   2   2   1   1   2 53.20  11  12  49  47 0  4.33  12
316   3   2   0   1   2 35.90   7   9  46  50 1 13.48  42
317   3   3   1   1   2 10.00   9 999  50 999 1 13.48  42
318   3   3   0   1   3 48.18   9   9  52  52 1 13.48  42
319   3   3   1 999   2 54.60  11 999  46 999 1 13.48  42
320   3   2   1   1   2 47.10  10  11  49  54 1 13.48  42
321   3   2   0   1   2  6.20   6   7  45  46 1 13.48  42
322   3   2   0   1   2 44.80   9 999  49 999 1 13.48  42
323   3   2   1   1   2 51.30   8   9  54  57 1 13.48  42
324   3   3   0   1   3 56.20  10  10  53  54 1 13.48  42
325   3   3   1   1   2 34.30   8   9  51  46 1 13.48  42
326   3   2   0   1   2 999.0   7   7  42  50 1 13.48  42
327   3   2   1   1   3 62.80  12   9  48  59 1 13.48  42
328   3   2   0   0   2 52.00   7   9  49  58 1 13.48  42
329   3   2   0   1   2 999.0   9   7  46  43 1 13.48  42
330   3   1   0   1   1 29.67   5 999  49 999 1 13.48  42
331   3   2   0   1   2 25.40  10  12  45  48 1 13.48  42
332   3   2   0   1   2 50.20   7 999  49 999 1 13.48  42
333   3   3   0   1   2 999.0   8   9  52  63 1 13.48  42
334   3   3   0   1   2 42.40   5   9  51  63 1 13.48  42
335   3   3   1   0   2 46.40   9  10  51  58 1 13.48  42
336   3   3   0   1   2 53.00   8  10  54  63 1 13.48  42
337   3   3   0   1   1  6.00   3   6  37  37 1 13.48  42
